		Busan	Daegu	Daejeon	Gangeung	Gwangju	Jeonju	Jinju	Pohang	Seoul  Wonju cd as ef ww ee ff gg ed ll sd
Busan  		0	108	INF	INF		INF	INF	106	110	INF	INF	INF INF INF 12 INF INF INF INF INF 22
Daegu		108	0	152	359		211	INF	135	87	INF	189 10 INF INF 55 INF INF INF INF INF 15
Daejeon		INF	152	0	INF		INF  	86	INF  	INF	161	INF INF 20 INF INF 99 INF INF INF 66 INF
Gangeung	INF	359  	INF	0		INF	INF	INF	237	INF	126 INF INF INF INF INF INF INF INF INF INF
Gwangju		INF	211	INF	INF		0	99	161  	INF	INF	INF INF INF 30 INF INF INF INF INF INF INF
Jeonju		INF	INF	86	INF		99 	0	INF	INF	255	INF INF INF INF INF INF INF INF INF INF INF
Jinju		106	135	INF	INF  		161	INF	0	INF	INF	INF INF INF INF INF INF INF INF INF INF INF
Pohang		110	87	INF	237		INF	INF	INF	0	INF	INF INF INF INF INF INF INF INF INF INF INF
Seoul 		INF	INF	161	INF		INF	255	INF	INF	0	110 INF INF INF INF INF INF INF INF INF INF
Wonju		INF	189	INF	126		INF	INF	INF	INF	110	0 INF INF INF INF INF INF INF INF INF INF
cd			INF 10 INF INF INF INF INF INF INF INF 0 11 55 INF INF INF 2 INF INF INF
as			INF INF 20 INF INF INF INF INF INF INF 11 0 77 INF INF INF 5 INF INF INF
ef			INF INF INF INF INF 30 INF INF INF INF  55 77 0 INF INF INF 22 INF INF INF
ww			12 55 INF INF INF INF INF INF INF INF INF INF INF 0 INF INF INF INF INF 5
ee			INF INF 99 INF INF INF INF INF INF INF INF INF INF INF 0 5 INF INF INF 2
ff			INF INF INF INF INF INF INF INF INF INF INF INF INF INF 5 0 INF INF INF INF
gg			INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF 0 15 INF INF
ed			INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF 15 0 12 INF
ll			INF INF 66 INF INF INF INF INF INF INF INF INF INF INF INF INF INF 12 0 6
sd			22 15 INF INF INF INF INF INF INF INF INF INF INF 5 2 INF INF INF 6 0
